0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/fakeLoader.min.js HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/wow.min.js HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/datepicker.js HTTP/1.1" 200 39576
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/bootstrap.min.js HTTP/1.1" 200 58031
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/moment.min.js HTTP/1.1" 200 51465
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/jquery.timepicker.js HTTP/1.1" 200 34489
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/fontawsome.js HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/daterangepicker.min.js HTTP/1.1" 200 32608
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/globalscript.js HTTP/1.1" 200 18485
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/custom.js HTTP/1.1" 200 10200
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:19 +0530] "GET /corpseedhrm/hcustfrontend/fntdfonts/fa-regular-400.woff2 HTTP/1.1" 200 13548
